Data_OEE_ALL_Date,Data_OEE_ALL_Project,Data_OEE_ALL_Team,Data_OEE_ALL_OEE,Data_OEE_ALL_OEE_J1_G4,Data_OEE_ALL_Performance,Data_OEE_ALL_Availability,Data_OEE_ALL_Availability_J1_G4,Data_OEE_ALL_Quality,Data_OEE_ALL_Planned_DT,Data_OEE_ALL_Unplanned_DT,Data_OEE_ALL_UPD_J1_G4_,Data_OEE_ALL_Scrap_m,Data_OEE_ALL_DT_h,Data_OEE_ALL_Standard_Time_h,Data_OEE_ALL_Set_upTime,Data_OEE_ALL_Quantity_Psc,Data_OEE_ALL_Batch_size_Pcs
3/6/2023 12:00:00 AM,SysApp,Mouguina,0.2815,0.535,0.6724,0.4186,0.7956,0.9964,0.067,0.5145,0.0771,187.89,60.47,29.27,3.16,77356,1075
3/6/2023 12:00:00 AM,SysApp,Riahi,0.2486,0.4553,0.6861,0.3624,0.6636,0.997,0.135,0.5024,0.0887,193.617,66.31,25.86,8.58,63378,1039
3/7/2023 12:00:00 AM,CV,AKIL,0.262,0.3284,0.6916,0.3789,0.4748,0.9972,0.28,0.341,0.1742,167.633,44.72,18.87,4.98,47392,268
3/7/2023 12:00:00 AM,CV,BOUFDILI,0.2699,0.3159,0.6969,0.3872,0.4532,0.9964,0.365,0.2481,0.1199,212.961,44.12,19.43,5.03,48014,234
3/7/2023 12:00:00 AM,CV,OMAR,0.2876,0.2961,0.673,0.4273,0.44,0.9973,0.296,0.2771,0.2556,174.276,41.23,20.71,4.26,53571,267
3/7/2023 12:00:00 AM,PSA,PSA 1,0.2956,0.4014,0.724,0.4083,0.5544,0.9969,0.182,0.4098,0.1985,1257.545,255.63,127.7,9.11,272566,723
3/7/2023 12:00:00 AM,PSA,PSA 2,0.3375,0.4086,0.7587,0.4448,0.5385,0.9974,0.238,0.3175,0.1737,1897.48,239.86,145.78,7.28,308730,774
3/7/2023 12:00:00 AM,PSA,PSA 3,0.314,0.3848,0.7201,0.4361,0.5343,0.9966,0.213,0.3512,0.2051,1886.545,243.61,135.66,8.83,296636,700
3/7/2023 12:00:00 AM,SysApp,Mouguina,0.2659,0.5027,0.6454,0.412,0.779,0.9943,0.074,0.5142,0.0814,477.776,61.15,27.65,3.49,74244,952
3/7/2023 12:00:00 AM,SysApp,Riahi,0.2276,0.4877,0.6838,0.3329,0.7131,0.9963,0.097,0.5701,0.0791,144.081,69.38,23.67,6.18,61620,1082
3/8/2023 12:00:00 AM,CV,AKIL,0.2533,0.3073,0.6695,0.3784,0.459,0.9984,0.339,0.2826,0.1297,89.347,44.76,18.24,5.29,47451,246
3/8/2023 12:00:00 AM,CV,BOUFDILI,0.3083,0.3837,0.6967,0.4425,0.5507,0.9971,0.282,0.2758,0.0988,196.9,40.14,22.2,3.73,59312,254
3/8/2023 12:00:00 AM,CV,OMAR,0.2694,0.3025,0.6722,0.4008,0.4501,0.9977,0.303,0.2962,0.2098,102.208,43.14,19.4,4.3,46928,225
3/8/2023 12:00:00 AM,PSA,PSA 1,0.2712,0.3774,0.7077,0.3833,0.5333,0.9965,0.194,0.4232,0.1974,1814.575,266.43,117.18,9.32,241280,627
3/8/2023 12:00:00 AM,PSA,PSA 2,0.33,0.4043,0.7282,0.4532,0.5553,0.9972,0.22,0.3273,0.1757,1333.505,236.24,142.55,8.34,310239,743
3/8/2023 12:00:00 AM,PSA,PSA 3,0.3311,0.4037,0.739,0.4481,0.5462,0.9967,0.221,0.3309,0.1842,1643.795,238.43,143.05,8.01,311025,724
3/8/2023 12:00:00 AM,SysApp,Mouguina,0.2863,0.5267,0.6827,0.4194,0.7715,0.9952,0.083,0.498,0.0765,302.942,60.38,29.78,4.2,77165,1206
3/8/2023 12:00:00 AM,SysApp,Riahi,0.24,0.5223,0.7311,0.3283,0.7144,0.9958,0.103,0.5688,0.0617,203.57,69.86,24.96,7.91,59907,1131
3/9/2023 12:00:00 AM,CV,AKIL,0.3052,0.3365,0.6586,0.4634,0.5109,0.9984,0.281,0.2555,0.1794,118.665,38.63,21.98,3.63,59421,285
3/9/2023 12:00:00 AM,CV,BOUFDILI,0.3123,0.3413,0.6801,0.4591,0.5018,0.9974,0.357,0.1837,0.1077,172.713,38.94,22.48,3.41,57411,168
3/9/2023 12:00:00 AM,CV,OMAR,0.2344,0.2594,0.6803,0.3445,0.3813,0.9962,0.303,0.3526,0.2835,201.27,47.19,16.87,6.6,42912,294
3/9/2023 12:00:00 AM,PSA,PSA 1,0.2779,0.3529,0.6991,0.3974,0.5048,0.9969,0.218,0.3847,0.2186,1199.73,260.31,120.03,9.21,250133,642
3/9/2023 12:00:00 AM,PSA,PSA 2,0.2347,0.3374,0.6824,0.344,0.4945,0.9964,0.208,0.4484,0.2071,1362.9,283.41,101.4,9.46,200109,503
